Date,Player,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity,Backswing Time,Downswing Time
,,,[mph],[deg],[deg],[deg],[deg],[mph],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[yds],[yds],[deg],[yds],[yds],[deg],[yds],,,[g/L],[deg C],[kPa],[%],[sec],[sec]
04/14/26 15:23:12 PM,Forrest,5 Iron,78.18806138,-2.337365627,-7.040002346,-0.909144461,6.130857885,108.1289559,1.382934351,13.73288345,-1.627686262,3610.491516,138.4993022,3613.146973,Measured,2.196802378,16.49053551,152.9562934,-2.396044016,-6.39472401,172.5041244,-2.476227522,-7.452938562,,,1.133081436,27.77777863,98.65278625,55,919,172
04/14/26 15:23:42 PM,Forrest,5 Iron,78.22875637,-3.682922363,-5.912608624,0.606876731,6.519485354,103.7844982,1.326679639,15.43594456,-0.241324678,4100.811862,542.737599,4136.571289,Measured,7.539212704,17.68111469,144.8616383,-2.993036509,-7.563904427,161.9207868,-3.260327339,-9.208987254,,,1.133081436,27.77777863,98.65278625,55,923,176
04/14/26 15:24:11 PM,Forrest,5 Iron,80.37526604,-2.033632278,-1.8258394,3.447046757,5.272886157,105.8745435,1.31725279,15.76631737,2.603020906,3155.863176,400.9425265,3181.230469,Estimated,7.240459442,17.75955298,152.1789024,0.21306245,0.567147432,171.9447686,-0.048456643,-0.141581282,,,1.133081436,27.77777863,98.65278625,55,937,176
04/14/26 15:24:39 PM,Forrest,5 Iron,80.17493129,-0.963478267,-8.563274384,-1.305900931,7.257373452,108.6155295,1.354731807,13.89046288,-2.144193411,4306.859303,-975.2857654,4415.905273,Estimated,-12.75940228,17.60036313,151.5384301,2.751646042,7.27499696,168.3330861,3.209307909,9.423949983,,,1.133081436,27.77777863,98.65278625,55,891,174
04/14/26 15:25:10 PM,Forrest,5 Iron,80.37419086,-3.661563396,-3.900697231,1.989925742,5.890622973,111.5400569,1.387759624,14.01478577,1.146487594,3791.416877,1069.084167,3939.261719,Estimated,15.74711609,18.2087647,158.5398885,-4.736978531,-13.09258395,176.7031138,-5.310391426,-16.35408513,,,1.133081436,27.77777863,98.65278625,55,934,173
04/14/26 15:25:37 PM,Forrest,5 Iron,78.83428326,-4.682535172,-6.865023613,2.657006025,9.522029638,103.922054,1.318234272,13.10395813,1.32352531,4925.806398,-181.6011214,4929.152832,Estimated,-2.111383677,15.38724095,140.1801545,2.124951601,5.19780317,156.3581508,2.200426102,6.003503524,,,1.133081436,27.77777863,98.65278625,55,941,180
04/14/26 15:26:15 PM,Forrest,5 Iron,80.37649483,1.264829278,-8.419886589,1.139108419,9.558995008,106.30461,1.322583303,9.743829727,-0.117865659,4714.424906,-376.8943768,4729.466309,Estimated,-4.570785999,11.32222805,137.3164267,1.498024464,3.589777192,167.1716386,1.774867773,5.178064271,,,1.133081436,27.77777863,98.65278625,55,963,170
04/14/26 15:26:46 PM,Forrest,5 Iron,77.92665425,-0.218751058,-4.107656956,2.272222996,6.379879951,95.23143196,1.222064939,14.80160809,1.352476835,1692.22241,-305.8226016,1719.634888,Estimated,-10.24406338,9.880175548,118.392289,3.152190924,6.510259568,167.8193866,3.668050766,10.73636571,,,1.133081436,27.77777863,98.65278625,55,979,174
04/14/26 15:27:12 PM,Forrest,5 Iron,80.46469435,-1.644173145,-3.586763859,-1.039044976,2.547718883,113.4481138,1.409911698,13.39892292,-1.302296162,3342.118927,-224.9989514,3349.684082,Estimated,-3.851468801,17.72742799,165.1516502,0.062557258,0.177893757,185.4799593,0.203671768,0.660144873,,,1.133081436,27.77777863,98.65278625,55,943,164
04/14/26 15:28:22 PM,Forrest,4 Iron,80.87005714,-6.447191715,-8.401429176,0.038480438,8.439909615,100.6147854,1.244153757,13.72405624,-1.019636989,1886.803164,804.9819995,2051.346436,Estimated,23.10493851,10.18829157,126.4103081,-5.677821159,-12.50636179,176.3199584,-6.983396053,-21.43733781,,,1.133081436,27.77777863,98.65278625,55,948,185
04/14/26 15:28:49 PM,Forrest,4 Iron,75.56304202,-5.387900829,-3.624463558,-5.334571362,-1.710107803,85.80047501,1.135482012,10.40403175,-4.835455894,1220.926558,704.9023005,1409.804565,Estimated,30,3.613571087,71.6781753,-7.560499668,-9.430894997,129.2753959,-8.780736923,-19.73434614,,,1.133081436,27.77777863,98.65278625,55,1019,146
04/14/26 15:29:27 PM,Forrest,4 Iron,78.02694536,2.069854021,-5.869334698,6.376392841,12.24572754,92.39733981,1.184172203,7.286757946,4.50330162,1906.638048,-757.4987331,2051.602539,Measured,-21.66770172,2.733599551,74.69694412,7.113726139,9.250409115,137.3774352,8.313897133,19.86424992,,,1.133081436,27.77777863,98.65278625,55,946,185
04/14/26 15:29:58 PM,Forrest,4 Iron,77.71822145,-0.673440278,-6.287057877,-3.666402578,2.620655298,104.7314313,1.347578848,13.62895489,-3.798346996,2471.371762,-205.0215129,2479.861328,Measured,-4.742317677,12.86483464,143.1503134,-2.555505276,-6.38276605,183.2761611,-2.283876657,-7.303752696,,,1.133081436,27.77777863,98.65278625,55,1030,191
04/14/26 15:30:18 PM,Forrest,4 Iron,82.21305181,-3.445628405,-3.073515654,2.133799314,5.207314968,112.1621894,1.364286898,14.82828522,1.368171334,2912.952767,-672.4399778,2989.560059,Estimated,-12.99872684,18.31681447,164.4746495,5.674990177,16.26423173,185.3132206,6.136127472,19.80834772,,,1.133081436,27.77777863,98.65278625,55,972,175
04/14/26 15:30:43 PM,Forrest,4 Iron,78.24066024,1.900900245,-2.820954561,-5.127810955,-2.306856394,95.52721949,1.220940866,8.659985542,-4.565077782,1431.926161,826.7229823,1653.445923,Measured,30,3.529848157,81.77488009,-7.806225777,-11.10694931,147.325073,-9.266498566,-23.7232726,,,1.133081436,27.77777863,98.65278625,55,957,164
04/14/26 15:31:18 PM,Forrest,4 Iron,76.69487324,-2.752119541,-11.22976685,-3.345565081,7.884201765,107.5228744,1.401956478,12.12640476,-4.153270245,4377.652463,-59.16404035,4378.052246,Measured,-0.774306178,14.89902493,146.960307,-3.867410183,-9.912078391,165.2845473,-3.833387375,-11.05021692,,,1.133081436,27.77777863,98.65278625,55,947,180
04/14/26 15:31:39 PM,Forrest,4 Iron,79.97627757,-4.593915939,-10.84707451,6.107388973,16.95446348,98.01007515,1.225489334,10.81528759,3.659486294,3958.692428,-406.3138672,3979.489502,Estimated,-5.860226154,9.224326984,120.0670939,5.371040821,11.23889414,157.5254889,5.759085178,15.80704456,,,1.133081436,27.77777863,98.65278625,55,1001,180
04/14/26 15:32:05 PM,Forrest,4 Iron,81.32650842,-2.69368577,-7.016764164,3.379656076,10.39642024,112.840667,1.387501679,15.44237709,1.898139834,3266.814113,-337.7823701,3284.230713,Estimated,-5.903296471,20.68770392,168.2102514,4.039293766,11.84896861,187.0839853,4.237620831,13.82419669,,,1.133081436,27.77777863,98.65278625,55,950,183
04/14/26 15:32:28 PM,Forrest,4 Iron,77.97009695,-5.183104515,-6.546020508,2.609294653,9.155315161,106.180989,1.361816814,13.46138477,1.324250102,4098.859308,-90.90283474,4099.867188,Estimated,-1.270474195,15.96185924,147.1607372,1.784105778,4.581901212,165.4775016,1.830452323,5.28580533,,,1.133081436,27.77777863,98.65278625,55,963,162
04/14/26 15:33:01 PM,Forrest,4 Iron,78.23146994,-6.885523796,-1.185102701,-4.446070194,-3.260967493,91.39765426,1.1682978,7.793439865,-3.800391436,1000.000023,243.4622167,1029.210327,Estimated,13.68315125,2.255052216,63.61198439,-4.573717594,-5.072533225,137.0203286,-4.979135513,-11.89239607,,,1.133081436,27.77777863,98.65278625,55,986,157
04/14/26 15:33:24 PM,Forrest,4 Iron,80.27583679,-0.508769274,-0.798889816,9.435314178,10.23420399,93.49060082,1.164616958,10.45270252,7.650418282,2418.105605,-657.6838085,2505.949463,Estimated,-15.21542358,6.023980312,100.5617403,10.53659248,18.38906806,148.7522645,11.46727848,29.57315615,,,1.133081436,27.77777863,98.65278625,55,975,166
04/14/26 15:34:18 PM,Forrest,3 Hybrid,80.07047596,-1.282127023,-10.1674366,2.40720582,12.57464242,107.6496612,1.344436384,13.23417282,0.705112755,4523.538135,-1854.709576,4889.002441,Estimated,-22.29426765,15.69475519,143.9562897,9.105628014,22.78182325,160.4001301,9.938915253,27.68472563,,,1.133081436,27.77777863,98.65278625,55,969,180
04/14/26 15:34:47 PM,Forrest,3 Hybrid,80.14506496,-3.214993954,-6.116979599,1.697186232,7.814165831,112.7600876,1.406949856,11.64462757,0.628708005,5109.931676,-1655.727081,5371.483398,Measured,-17.95343208,16.45286202,152.7102236,8.038612366,21.35503851,168.1914116,8.68572998,25.39944164,,,1.133081436,27.77777863,98.65278625,55,965,170
04/14/26 15:35:14 PM,Forrest,3 Hybrid,80.07898359,-2.838657141,-4.923258781,6.55244112,11.4756999,111.3881226,1.390978227,14.96196556,4.766291618,4582.800183,-1198.687795,4736.972656,Estimated,-14.65802956,20.80632922,158.0362014,10.84895992,29.74568118,172.8286074,11.3203373,33.92521745,,,1.133081436,27.77777863,98.65278625,55,1008,151
04/14/26 15:35:39 PM,Forrest,3 Hybrid,78.0992304,-1.881301284,-11.8161335,1.880647421,13.69678092,111.3758604,1.426081407,10.90922832,0.066289224,4965.044948,538.3565454,4994.146484,Estimated,6.18836689,15.28109352,151.8640312,-2.409078598,-6.383488294,168.8920413,-2.642417431,-7.786325824,,,1.133081436,27.77777863,98.65278625,55,984,164
04/14/26 15:36:04 PM,Forrest,3 Hybrid,80.55987405,-2.291159153,-5.453467846,2.158679485,7.612147331,114.5527326,1.421957692,10.7135191,1.090812325,4921.310871,1970.03722,5300.976074,Measured,21.81659126,15.11667639,152.907767,-7.706832886,-20.50558165,169.6037514,-8.551525116,-25.2199184,,,1.133081436,27.77777863,98.65278625,55,949,166
04/14/26 15:36:34 PM,Forrest,3 Hybrid,77.78890224,-1.133684158,-7.63984108,-2.252173185,5.387667894,107.3800109,1.380402703,7.877976418,-2.805936575,4223.126811,-418.5422646,4243.816406,Measured,-5.659941196,8.495442613,132.4248841,-1.009300232,-2.332909326,174.2489739,-0.58013463,-1.764683809,,,1.133081436,27.77777863,98.65278625,55,1007,162
04/14/26 15:36:54 PM,Forrest,3 Hybrid,78.26594421,-1.824693441,-0.029464247,6.071300983,6.10076523,92.77822929,1.18542273,8.873288155,4.983417511,1480.522236,-60.34327633,1481.751465,Estimated,-2.333975315,3.569629455,81.16698122,5.228059292,7.395935006,144.9577734,5.328956127,13.46286197,,,1.133081436,27.77777863,98.65278625,55,998,146
