Date,Player,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance
03/10/26 13:30:11 PM,Forrest,3 Hybrid,75.49541613,-2.546015501,-7.709406376,1.353402019,9.062808394,101.7149925,1.347300243,12.72618389,0.14706023,1508.2078,70.03792344,1509.83313,Measured,2.658782482,8.965253665,122.9329243,-0.294750571,-0.632154141,161.6868152,-0.402025491,-1.1353326
03/10/26 13:17:18 PM,Forrest,7 Iron,70.47004042,-8.93170929,-15.65977192,-5.524903297,10.13486862,94.83358695,1.345729141,12.05966091,-6.497741222,4563.49153,1981.341516,4975.054688,Estimated,23.46914864,9.740551462,110.1244539,-14.11569595,-26.8572521,126.5410024,-15.07362652,-32.9082605
03/10/26 13:15:27 PM,Forrest,7 Iron,71.24896265,0.484056652,-4.504719734,-10.67978954,-6.175069809,95.55496957,1.341141906,15.177701,-9.336283684,2685.614744,1513.083833,3082.523193,Measured,29.39704704,11.44877666,116.7843499,-17.28827286,-34.70590835,134.9727312,-18.33425522,-42.4570111
03/10/26 13:11:21 PM,Forrest,7 Iron,70.68247958,-1.024798989,-16.34309769,-6.24388504,10.09921265,94.63335459,1.338851653,13.61784744,-7.17383194,3659.839535,2113.009087,4226.018555,Estimated,29.99999619,10.30219335,110.5839116,-16.09495544,-30.65717697,127.5583307,-17.27898598,-37.88795748
03/10/26 13:14:56 PM,Forrest,7 Iron,73.06545799,-3.476317644,-15.21783352,-17.34115791,-2.123324394,97.78647026,1.338340619,7.740538597,-16.14858246,5070.127634,46.2817822,5070.338867,Estimated,0.523000062,6.898827828,109.3579096,-16.71673584,-31.45571903,132.7443777,-16.66131973,-38.05964816
03/10/26 13:11:46 PM,Forrest,7 Iron,72.29087065,-3.530281782,-6.936083317,1.400752783,8.3368361,96.36965458,1.333081947,17.01750374,0.282718897,6100.752862,-267.7041654,6106.623535,Estimated,-2.512556314,18.39316686,124.8252638,1.348716855,2.938096262,134.0072,1.410975695,3.299875531
03/10/26 13:06:23 PM,Forrest,7 Iron,65.83128853,6.398278236,-19.38541031,-3.452913046,15.93249726,87.62345561,1.331030541,6.155461311,-5.261939526,2606.166948,-1081.104249,2821.505371,Estimated,-22.52991486,2.093845814,62.74759455,-2.335148335,-2.556659443,107.8810152,-1.062199831,-2.000056707
03/10/26 13:32:16 PM,Forrest,3 Hybrid,75.60132211,-3.914918661,-6.078928471,-8.967604637,-2.888676167,100.4803102,1.329081388,14.03303146,-8.126832008,3809.406279,211.7446713,3815.286621,Estimated,3.181494236,14.30197589,132.7149915,-9.574357986,-22.07415564,147.7489618,-9.634005547,-24.72637499
03/10/26 13:07:01 PM,Forrest,7 Iron,67.51044999,-9.43040657,-14.50823593,3.245077372,17.7533133,89.7218293,1.329006536,15.19388294,0.850208104,5544.701014,-1418.05134,5723.161621,Estimated,-14.34583473,12.61252799,108.6893944,5.890990257,11.15544864,120.8863198,6.37301445,13.41856365
03/10/26 13:21:00 PM,Forrest,7 Iron,70.18651942,-5.631390572,-7.7135849,-1.323011994,6.390572906,93.23935678,1.328451069,17.37162399,-2.051929712,6410.017579,-223.1431427,6413.900391,Estimated,-1.993754148,17.47168169,118.6703983,-1.38888967,-2.87632016,127.6167193,-1.323377848,-2.947532887
03/10/26 13:37:43 PM,Forrest,3 Wood,80.85797408,-3.36289835,-4.139460087,10.81043816,14.94989824,106.8897083,1.321943934,,8.361980438,2705.239917,-604.0776508,2771.864502,Estimated,-12.58759117,0,49.21711803,9.508843422,8.130645825,49.21711803,9.508843422,8.130645825
03/10/26 13:28:03 PM,Forrest,3 Hybrid,84.71429659,-2.546740055,-19.99999809,-8.308786392,11.6912117,111.8744914,1.320609341,7.974587917,-9.327565193,4054.553294,-185.1566952,4058.778809,Measured,-2.614673138,10.22753367,141.7764877,-8.699287415,-21.44350374,164.2019803,-8.527514458,-24.34860962
03/10/26 13:13:52 PM,Forrest,7 Iron,72.54567304,-7.956072807,-9.597663879,-5.779911518,3.817752361,95.66588456,1.318698698,15.45116043,-5.94867754,5447.373029,476.3373108,5468.159668,Estimated,4.997431278,15.59811009,122.5055478,-8.228816986,-17.53386037,134.1965583,-8.345650673,-19.47792401
03/10/26 13:14:15 PM,Forrest,7 Iron,73.23218887,-0.276777953,-7.229413509,-3.441266298,3.788147211,96.52274082,1.318037086,14.41321087,-3.731329203,1000.000012,577.3502953,1154.700562,Estimated,30,8.335616557,108.6510472,-7.348548412,-13.89704476,149.6613844,-8.340589523,-21.70950643
03/10/26 13:08:42 PM,Forrest,7 Iron,70.19271455,-6.748224258,-9.369916916,-0.845948994,8.523967922,91.7966086,1.30777972,15.1963644,-1.867311239,5382.11783,-720.2409415,5430.095703,Estimated,-7.622100353,13.59646302,114.2656054,0.763614237,1.523118907,126.4421306,1.024884105,2.261812628
03/10/26 13:07:24 PM,Forrest,7 Iron,68.04392224,-1.459453821,-7.370731831,-5.174422741,2.19630909,88.72560825,1.303946118,17.59673691,-5.172666073,2650.105148,560.6043186,2708.751465,Estimated,11.94428349,12.63700189,112.4921373,-8.361422539,-16.35828718,129.6375337,-8.726295471,-19.66792474
03/10/26 13:08:20 PM,Forrest,7 Iron,72.50208528,-3.240594387,-6.294707298,-5.442605019,0.85210228,94.24868488,1.299944471,15.4244051,-5.258317471,5167.765205,52.67846642,5168.033691,Estimated,0.584033728,14.82137407,120.4341878,-5.767417431,-12.10255809,132.2123974,-5.751525402,-13.24967956
03/10/26 13:07:55 PM,Forrest,7 Iron,69.78823921,-0.164360955,-6.383861542,0.967004597,7.350866139,89.42635751,1.281395813,19.53583527,-0.004473931,4605.025577,-15.8153711,4605.052734,Estimated,-0.196774244,17.05300342,115.7033182,0.062557258,0.129326048,126.8509176,0.068528041,0.154240106
03/10/26 13:38:03 PM,Forrest,3 Wood,76.03543337,2.916015148,-12.43394089,0.298146456,12.73208734,97.37951175,1.28071226,7.465647221,-1.310917497,5267.579021,-1449.546259,5463.384766,Measured,-15.3859787,6.358052794,105.1639931,3.358529568,6.160976682,129.2018804,4.25445652,9.585014022
03/10/26 13:22:18 PM,Forrest,7 Iron,70.31058413,-4.010904312,-7.313271046,-8.650951385,-1.33768034,89.89094949,1.278483895,16.09079742,-8.021175385,3612.458892,149.9824591,3615.571045,Measured,2.37744689,12.54324577,113.1172407,-9.054362297,-17.80143166,128.4185904,-9.087656021,-20.28313887
